# seed: 1783859816468666200
# N: 155.000
# minAmplitude: 0.3895470010902611
# maxAmplitude: 0.975344215603168
# minSigma: 14.000058843979076
# maxSigma: 17.99999347355918
# minX0: 2794.5799378411184
# maxX0: 2808.820516381733
# minAlpha: 1.4560239066796752
# maxAlpha: 1.655957151344219
# chi2 amplitude sigma x0 alpha
0.5351684 0.6113314 16.6585313 2801.9665602 1.4649866
0.5352816 0.5773214 17.4171927 2802.4963589 1.4591949
0.5362502 0.6048722 15.1305898 2802.7925557 1.5851499
0.5390420 0.6510191 15.7751970 2803.1305922 1.6064351
0.5399393 0.6010223 15.5281421 2801.3518033 1.6347214
0.5401432 0.6189250 17.8771009 2802.8186331 1.4787971
0.5405092 0.7088091 15.2040735 2801.7362692 1.5639513
0.5420067 0.6183838 16.1767929 2800.4495104 1.4988549
0.5428763 0.6090059 16.4096593 2799.9421045 1.5766737
0.5432018 0.5920213 16.6361795 2800.9835140 1.4724727
0.5438335 0.5785506 17.3827233 2799.9786134 1.4714676
0.5448036 0.6218350 16.7168205 2802.9014770 1.5926153
0.5454981 0.5423654 17.1460589 2801.1385205 1.5029526
0.5459695 0.5419098 17.2872801 2802.7457146 1.5689217
0.5473953 0.5999513 15.7009047 2800.4212590 1.6129648
0.5493513 0.5684929 17.3212510 2803.4298659 1.5363753
0.5516317 0.5817592 17.0100713 2801.0297747 1.5995845
0.5529486 0.6540072 17.1040156 2801.4677133 1.5401315
0.5531670 0.6451302 16.4716485 2802.2202427 1.4731593
0.5564859 0.6469928 15.2163252 2800.4876775 1.5657745
0.5580073 0.5518514 17.9710410 2802.3772701 1.5446371
0.5588524 0.5505616 17.0359353 2800.2815171 1.5509208
0.5594738 0.5662992 17.5868721 2802.2703311 1.5765041
0.5595134 0.6211630 15.9568881 2801.9981007 1.6318803
0.5628000 0.6339483 17.5993691 2801.4980665 1.5256757
0.5635401 0.6387864 17.0284097 2802.6638289 1.5612257
0.5637526 0.6663067 15.3282060 2803.2661172 1.5724258
0.5638607 0.6536118 16.9653656 2800.6845638 1.5395404
0.5638657 0.5352722 17.3887901 2802.5292830 1.5271703
0.5642090 0.5555641 17.2922987 2801.3396469 1.5915108
0.5649011 0.5553572 16.4893992 2802.7813279 1.6111302
0.5657172 0.6631865 16.9961636 2800.3126576 1.4820897
0.5670371 0.7003516 15.1630688 2800.9940597 1.5755204
0.5674298 0.6797531 15.0160566 2802.5437821 1.6142368
0.5678963 0.6191795 15.4214426 2803.4497777 1.5813500
0.5688984 0.5678937 16.0200722 2801.6023675 1.6311296
0.5694203 0.6125405 17.3453270 2803.3951573 1.5314423
0.5710026 0.6626712 17.4955573 2801.2109497 1.4726572
0.5711042 0.6659274 15.2571698 2800.7936409 1.6133140
0.5712168 0.7024443 15.3897901 2802.6276143 1.5702499
0.5717631 0.6022444 17.6238753 2803.1542170 1.4699844
0.5734811 0.5990603 15.5938320 2803.4160284 1.5774484
0.5739373 0.6528734 15.7609728 2801.1936377 1.6202749
0.5754863 0.6186780 17.4671177 2803.2725959 1.5159926
0.5762219 0.5698095 16.5727174 2800.1657063 1.5865779
0.5763210 0.6979039 15.2274105 2802.2422181 1.6031727
0.5771548 0.5905867 17.9072290 2803.1563587 1.5115612
0.5776345 0.6868465 14.6679392 2801.4218243 1.6028849
0.5780994 0.6098074 17.0606230 2803.6124164 1.5223514
0.5783454 0.6357189 16.3576938 2801.0019988 1.4683068
0.5791867 0.5368714 17.5553857 2801.1413796 1.4904239
0.5806284 0.5560560 16.8714194 2800.1293577 1.5545409
0.5809070 0.5902703 16.3432222 2801.6723050 1.6305051
0.5819021 0.6580864 16.3963708 2803.3086532 1.5299869
0.5820951 0.7077327 15.1692296 2802.1200626 1.5590194
0.5830485 0.6536940 16.2614879 2800.7631038 1.4763196
