# seed: (numpy internal)
# N: 155
# minAmplitude: 0.3891415
# maxAmplitude: 0.9823132
# minSigma: 14.0007560
# maxSigma: 17.9985816
# minX0: 2794.6671558
# maxX0: 2808.8111477
# minAlpha: 1.4560285
# maxAlpha: 1.6559994
# chi2 amplitude sigma x0 alpha
0.5110311 0.6685490 15.9457708 2800.3144838 1.5541440
0.5119055 0.5399842 17.3894469 2801.0551500 1.5049632
0.5122401 0.6926784 15.1428231 2801.9872824 1.5540033
0.5137755 0.5729238 17.5195523 2802.0641724 1.5763248
0.5147106 0.6042209 16.6661174 2800.8000687 1.6010161
0.5150658 0.5911281 16.9844357 2802.6066273 1.5969876
0.5155694 0.6876510 16.4270634 2801.2958104 1.5204076
0.5185205 0.6826366 16.4344800 2801.5946875 1.4884123
0.5191683 0.6113740 17.8570969 2802.5933300 1.5118664
0.5194773 0.6209438 16.9172583 2803.1236214 1.5712880
0.5207367 0.6137928 15.3728141 2803.0830435 1.6162838
0.5210202 0.6131245 15.5202714 2803.3996041 1.6022674
0.5220436 0.6451737 17.5366857 2802.3893617 1.4877835
0.5229001 0.5693400 17.3484391 2800.5237769 1.5670629
0.5236841 0.6259560 16.0813835 2802.2013567 1.6240058
0.5243621 0.6051849 16.7881236 2802.4993707 1.4733839
0.5251340 0.6150054 16.5292966 2802.7840671 1.6066002
0.5266141 0.6472954 16.4077579 2802.3142228 1.4810691
0.5271991 0.6692760 15.3400653 2803.1541111 1.5705211
0.5277601 0.5532764 16.3931464 2801.0052205 1.6070059
0.5305461 0.6764564 16.6532108 2802.0685117 1.4845538
0.5311632 0.6722419 16.4694126 2801.0334216 1.4742735
0.5320500 0.5815703 17.0364959 2803.5221783 1.5313811
0.5322134 0.6373819 17.3303545 2800.9978293 1.5356002
0.5329981 0.6255651 14.9704770 2801.8424089 1.6288708
0.5357780 0.6971242 16.0771455 2801.6392263 1.5465599
0.5375865 0.7041246 15.0721253 2801.7154071 1.5944204
0.5391211 0.5909756 15.0913639 2801.5419758 1.6163054
0.5392466 0.5981242 15.5165755 2802.0989923 1.5428713
