# seed: 1784055086560574239
# N: 155.000
# minAmplitude: 0.19294170643501568
# maxAmplitude: 0.3999961006444704
# minSigma: 17.639417991858277
# maxSigma: 19.99997739942267
# minX0: 2794.430233436969
# maxX0: 2813.1449767060876
# minAlpha: 1.4560060028808783
# maxAlpha: 1.6559824097062028
# chi2 amplitude sigma x0 alpha
20.7679345 0.3754055 19.6256829 2802.5380032 1.5592582
20.7716929 0.3218822 19.9323773 2804.1640509 1.6364504
20.7719699 0.3840204 19.8625156 2800.7593731 1.5037619
20.7769676 0.3950323 19.5157227 2804.7958519 1.4997411
20.7860450 0.3310415 19.8280273 2803.9686677 1.5855785
20.7965147 0.3983167 19.4683264 2804.4227273 1.4685690
20.8029939 0.3154944 19.9253435 2802.9056742 1.4739428
20.8069571 0.3917372 19.7278898 2806.2080829 1.6030048
20.8084959 0.3473883 19.8758868 2806.0230010 1.5403431
20.8087110 0.3567858 19.6845781 2804.6445817 1.6027302
20.8093440 0.3821660 19.4973772 2804.1594525 1.4630863
20.8130832 0.3376380 19.8369645 2805.1340841 1.5870586
20.8164215 0.3249141 19.8671445 2803.7471027 1.5764989
20.8186898 0.3813710 19.9086052 2800.7949564 1.5879754
20.8189513 0.3326986 19.9251045 2805.5212458 1.6196053
20.8189573 0.3512738 19.7455349 2805.1081905 1.5876658
20.8212590 0.3388064 19.8323760 2805.1395605 1.5997706
20.8238613 0.3844659 19.6913715 2805.8866995 1.5921743
20.8244345 0.3520491 19.8458935 2801.4648465 1.5022753
20.8252911 0.3374189 19.7549422 2803.4462941 1.5366821
20.8260788 0.3252920 19.9977195 2805.7143112 1.5943446
20.8300072 0.3720985 19.6542788 2805.4098692 1.5263105
20.8305592 0.3429898 19.8270344 2805.5076390 1.5492374
20.8327673 0.3471841 19.9539385 2806.3404303 1.6507753
20.8330686 0.3412009 19.9155728 2801.8975026 1.6177507
20.8342149 0.3839712 19.5136018 2803.9235398 1.5541057
20.8350841 0.3815850 19.8069788 2806.5127270 1.5789924
20.8409597 0.3734291 19.6472732 2805.1485249 1.6348667
20.8461909 0.3794999 19.9372889 2807.1106258 1.5538594
20.8463366 0.3775462 19.8185379 2801.3217870 1.6137282
20.8553865 0.3936493 19.6960072 2801.6364149 1.5995765
20.8562887 0.3667836 19.9812665 2800.8040943 1.6235144
20.8563899 0.3667350 19.8311164 2806.4313144 1.4984807
20.8566600 0.3388880 19.7811185 2804.9934507 1.5136986
20.8606185 0.3108457 19.9665268 2804.2498864 1.5269226
20.8624024 0.3812949 19.5300569 2803.1330793 1.5425932
20.8632255 0.3927157 19.7750592 2800.8849300 1.4781548
20.8686603 0.3617044 19.8628814 2806.5149914 1.4690795
20.8688098 0.3872705 19.5626048 2805.0253353 1.5802887
20.8691476 0.3668373 19.6605445 2804.9849945 1.6451750
20.8736361 0.3592801 19.9590906 2801.0762084 1.6312875
20.8769448 0.3806093 19.7339851 2806.1230938 1.5962462
20.8772776 0.3939730 19.6982884 2801.4976945 1.5688771
