# seed: 1784141145525623654
# N: 139.000
# minAmplitude: 0.20998409573019
# maxAmplitude: 0.2830891016485938
# minSigma: 17.999883804266283
# maxSigma: 16.548371118237924
# minX0: 2799.7190904776185
# maxX0: 2802.9998577055535
# minAlpha: 1.456002397664135
# maxAlpha: 1.6559741770305978
# chi2 amplitude sigma x0 alpha
0.3830721 0.2546164 17.8937062 2802.3026627 1.5277581
0.3830978 0.2451050 17.6436732 2802.7454425 1.5011822
0.3831040 0.2523706 17.9424741 2802.2733580 1.5512471
0.3831328 0.2421049 17.5908620 2802.6862087 1.4712828
0.3831723 0.2336520 17.6991239 2802.8803716 1.4681722
0.3831960 0.2539291 17.7208857 2802.9231021 1.5354446
0.3832479 0.2579830 17.7846046 2802.7713435 1.5198287
0.3832624 0.2319295 17.9861207 2802.2896151 1.5039186
0.3832675 0.2375531 17.9241812 2802.7616370 1.5619687
0.3832839 0.2548236 17.7617200 2802.9914049 1.5524918
0.3832871 0.2490806 17.9433728 2801.5638305 1.4702047
0.3832882 0.2409139 17.9312920 2802.2859755 1.5438713
0.3833092 0.2478343 17.8514159 2802.2145569 1.5255499
0.3833124 0.2647191 17.9888798 2802.5495197 1.4725112
0.3833306 0.2444358 17.9171249 2802.6283656 1.5825333
0.3833373 0.2543427 17.5959640 2802.9085867 1.4890992
0.3833399 0.2273397 17.9102530 2802.5944231 1.4599268
0.3833493 0.2495430 17.6456645 2802.3689975 1.4736445
0.3833783 0.2372080 17.9448535 2802.2791912 1.5292486
0.3833789 0.2529731 17.7304454 2802.7534135 1.5296568
0.3833797 0.2566586 17.8559224 2802.3402309 1.5084360
0.3834061 0.2597281 17.9310271 2802.0200357 1.4566003
0.3834299 0.2518900 17.9566755 2801.7590492 1.4929193
0.3834438 0.2604136 17.8974708 2802.3968654 1.4917967
0.3834442 0.2505944 17.8938639 2802.6389905 1.5815119
0.3834743 0.2545746 17.9021192 2802.5478101 1.5627094
0.3834760 0.2555156 17.7934530 2802.4957864 1.5144658
0.3834828 0.2527372 17.8128310 2802.6577775 1.5510247
0.3834836 0.2572961 17.6810194 2802.9811603 1.5090347
0.3834912 0.2496306 17.8927600 2801.8838368 1.4985412
0.3834919 0.2310582 17.8936907 2802.6471852 1.4953243
0.3835295 0.2516249 17.9839761 2802.7926366 1.6261127
0.3835298 0.2576334 17.7557587 2802.7588124 1.5138832
0.3835784 0.2515226 17.8591202 2802.4304722 1.5480321
0.3835820 0.2365073 17.9622107 2801.7443029 1.4798010
0.3836517 0.2563608 17.6468559 2802.8423620 1.4932371
0.3836650 0.2535985 17.9147054 2802.7493381 1.5937755
0.3836890 0.2541725 17.5851510 2802.6418200 1.4669775
0.3837052 0.2444387 17.7044894 2801.9996066 1.4579064
0.3837277 0.2399926 17.8825424 2802.4871388 1.5451253
0.3837528 0.2553816 17.6745128 2802.7707521 1.5038270
0.3837537 0.2553240 17.8822698 2802.2501112 1.5190911
0.3837582 0.2406628 17.9065709 2801.9707940 1.5073244
0.3837904 0.2515403 17.9087023 2802.9784923 1.6183023
0.3838044 0.2575257 17.7774706 2802.6576341 1.5147666
0.3838160 0.2447983 17.7719660 2802.3511217 1.5152162
0.3838700 0.2609643 17.7305233 2802.7001417 1.4671357
0.3838749 0.2437661 17.7243940 2802.8253193 1.5359236
0.3838758 0.2412840 17.9626463 2802.6824808 1.5938432
0.3839449 0.2557479 17.6046307 2802.9742071 1.4952207
0.3839875 0.2514286 17.6388325 2802.4821333 1.4833906
0.3839899 0.2495707 17.8870694 2801.5787536 1.4596568
0.3839996 0.2322529 17.7709968 2802.8175220 1.4811680
0.3839999 0.2469113 17.6034052 2802.8854398 1.5070588
