# seed: 1784072509930166400
# N: 155.000
# minAmplitude: 0.39346551790654827
# maxAmplitude: 0.9799644172240405
# minSigma: 14.00159463688906
# maxSigma: 17.99982585777346
# minX0: 2794.9065034965315
# maxX0: 2808.6726248433984
# minAlpha: 1.456025085302605
# maxAlpha: 1.6559861236560194
# chi2 amplitude sigma x0 alpha
0.4239221 0.5929094 17.5683148 2800.8376381 1.5432092
0.4242252 0.5495042 17.2130893 2801.1087700 1.5038642
0.4245079 0.5720000 16.7287037 2800.3805714 1.5193326
0.4259150 0.5457966 17.8769167 2801.2027394 1.5089823
0.4259157 0.6278964 14.8530310 2802.1659177 1.6052706
0.4259614 0.6859021 16.2103912 2801.7061814 1.5254744
0.4276424 0.5538346 16.7051764 2801.7406026 1.5185261
0.4278150 0.6670412 14.9056629 2802.2965396 1.5766128
0.4300392 0.5439668 17.2673141 2801.8754479 1.5703251
0.4302162 0.5654884 17.1657120 2800.8523816 1.4810281
0.4311567 0.5376135 17.3471737 2801.7971211 1.5343785
0.4313146 0.5525210 17.0859690 2800.6260130 1.5260538
0.4313424 0.5763711 17.0907629 2803.2130409 1.5267977
0.4327856 0.5883527 17.7142174 2801.3274184 1.5447122
0.4330957 0.5894253 17.8923491 2800.2465147 1.4882912
0.4332813 0.6788245 15.1688219 2802.6021906 1.5694627
0.4333103 0.6190636 14.9859280 2801.8883542 1.5785054
0.4339556 0.6471184 16.4855492 2803.0144922 1.5640175
0.4363600 0.6619808 16.8042095 2800.6835482 1.5079003
0.4374256 0.6517032 15.5777943 2800.7495648 1.6041805
0.4378099 0.6345835 16.1543633 2803.4478340 1.5600908
0.4389708 0.6613477 15.5630784 2801.8591375 1.5257925
0.4393398 0.6336911 16.3196762 2800.0378217 1.5411816
0.4411050 0.6160092 16.5684715 2802.9352615 1.5934743
0.4411617 0.6002589 15.6392820 2802.0161948 1.6303278
0.4413273 0.6469143 17.3479610 2800.7866691 1.4932720
0.4416482 0.5986982 15.5170213 2801.0267816 1.5544345
0.4437583 0.5720140 17.6749046 2802.9571872 1.5240914
0.4447681 0.6230659 16.7415243 2803.3660504 1.5518378
0.4461360 0.6143655 16.4639821 2802.8018170 1.6027248
0.4494206 0.6336388 16.9029767 2802.1534492 1.5716056
0.4532238 0.6068925 16.6009311 2802.4384172 1.4863199
0.4541216 0.5808256 16.7971055 2803.4154036 1.5683429
0.4548627 0.6388443 15.5061332 2801.3843785 1.6254293
0.4571683 0.5603059 17.5334713 2800.3519479 1.4944829
0.4578985 0.5654996 16.3600035 2802.0079218 1.5220494
0.4578997 0.5625806 17.2281636 2800.2513471 1.5331690
0.4627889 0.6129291 16.5268521 2800.3664187 1.5849319
0.4645582 0.6704910 15.2607803 2801.9781850 1.6166654
0.4647868 0.6600469 16.0915330 2803.1435864 1.5700070
0.4651183 0.5526633 17.3898738 2801.5697344 1.5759849
0.4667682 0.5665662 16.8419684 2803.0994396 1.5853976
0.4673786 0.5781036 17.1153039 2800.7967213 1.4644353
0.4697925 0.6027134 15.1236722 2801.2830910 1.6159489
0.4712511 0.6156312 17.3872913 2800.6347899 1.5397730
0.4729879 0.6188129 15.8026485 2802.0298949 1.6299636
0.4731763 0.6197223 16.3825120 2800.1364259 1.5762975
0.4733734 0.6233729 15.9143840 2800.0655098 1.5548475
0.4748495 0.6336595 17.0217535 2802.5486763 1.4662666
0.4759691 0.5808208 16.3911236 2803.2707216 1.5438561
0.4785195 0.6564818 14.9830860 2802.7926709 1.6073684
0.4787067 0.5851967 17.4237976 2803.2987177 1.5241783
0.4835268 0.6313171 16.8111236 2803.2189492 1.5105444
0.4838019 0.5918326 16.2022853 2803.4849417 1.5590221
0.4839210 0.6121262 17.7470911 2801.6005682 1.5302885
0.4855688 0.5773720 16.5618593 2800.2858041 1.5181659
0.4871663 0.6192659 17.4534782 2803.0471883 1.4916927
0.4875905 0.6218724 17.4166644 2799.9532078 1.4830506
0.4876491 0.5821535 16.3586245 2801.8781675 1.5020646
0.4889191 0.6347600 16.9211088 2803.0760420 1.5503328
0.4897435 0.6856168 16.1612959 2801.4609604 1.5589971
0.4899292 0.6196841 17.9598784 2802.1712885 1.4924871
0.4908458 0.5351451 16.6844022 2801.9621863 1.5786931
0.4926981 0.5901001 17.9216296 2801.9325284 1.5358705
0.4953730 0.6821656 16.0128068 2800.8519206 1.5608071
0.4959156 0.5702282 15.7500506 2802.6277253 1.6159764
0.4963233 0.6774989 16.5568698 2801.8467899 1.4868716
0.4968191 0.6565208 15.7601461 2800.8905979 1.6065404
0.4987074 0.6261865 17.4331000 2802.9213888 1.5156668
0.4991337 0.5481641 16.8453699 2802.6291523 1.5317442
0.4995349 0.6155362 17.6756453 2802.8065867 1.5126660
0.5013835 0.6102887 16.5313824 2799.8198007 1.5401677
0.5053773 0.6386435 16.2720142 2800.6534917 1.4849573
0.5056273 0.5477516 15.9382116 2801.6597230 1.5869093
0.5067922 0.6392584 15.9883058 2802.5005114 1.5083004
0.5077316 0.5865718 17.4151356 2803.3789840 1.5247123
0.5079939 0.5656765 16.4105640 2800.3868507 1.5413176
0.5080201 0.6161693 15.0065335 2801.1956832 1.5790043
0.5087309 0.6464109 16.0367130 2800.1097788 1.5288970
0.5089032 0.6290530 16.0655741 2800.1329043 1.5859548
0.5102159 0.5786847 15.5963878 2802.6807707 1.6188511
