# seed: 1783952833223507600
# N: 155.000
# minAmplitude: 0.3896323237361039
# maxAmplitude: 0.9751022407753198
# minSigma: 14.000132416347462
# maxSigma: 17.999881274274077
# minX0: 2794.649320952877
# maxX0: 2808.898012409254
# minAlpha: 1.4560053957759715
# maxAlpha: 1.6559925023245559
# chi2 amplitude sigma x0 alpha
0.6224841 0.6848314 16.0961122 2802.1952405 1.5833442
0.6225213 0.6048543 17.3325339 2799.9140525 1.5420589
0.6238469 0.5360038 16.6403573 2802.7931143 1.5644293
0.6240025 0.6330712 15.3227923 2802.7361669 1.5457347
0.6240225 0.5492484 15.8000019 2801.5898193 1.5717228
0.6245711 0.6899268 16.2608644 2802.0906152 1.5628384
0.6251497 0.6092856 15.8853534 2800.9622736 1.5067543
0.6258693 0.5482386 17.3331510 2800.2932131 1.5587140
0.6290280 0.6591290 15.4674931 2803.5172142 1.5955030
0.6299581 0.6836310 15.5693289 2802.8445643 1.6020496
0.6306425 0.5283490 17.9253446 2801.2828589 1.4944069
0.6317796 0.5678896 15.7308456 2800.5393159 1.5781549
0.6322284 0.5615785 16.0037666 2801.0888214 1.6268544
0.6336606 0.5451553 16.5871406 2802.5819071 1.6131551
0.6344205 0.6381826 15.0991252 2800.3476339 1.5968531
0.6354385 0.5980894 15.0648559 2800.9345865 1.5869638
0.6357658 0.6199053 17.7521716 2802.9925821 1.5152986
0.6387989 0.5824069 17.5466401 2802.4518567 1.5808731
0.6393905 0.5941155 17.5531554 2802.0226540 1.5773050
0.6411722 0.5309464 16.9581959 2802.7124538 1.5783383
0.6421360 0.6767639 14.6999021 2802.7915668 1.5935335
0.6421548 0.5318274 17.1631157 2800.9610990 1.5773382
0.6449827 0.5433412 17.3414374 2800.8013499 1.4826864
0.6450157 0.5903673 15.9174255 2801.7392169 1.6416715
0.6450261 0.5959039 17.0243492 2802.8582047 1.4680506
0.6458229 0.7152790 15.6140442 2801.6490119 1.5616214
0.6464293 0.6818180 15.4007840 2801.9464811 1.5241181
0.6465566 0.5478839 15.8921006 2801.3526649 1.5658476
0.6470604 0.5992958 16.7697530 2799.5343356 1.5316029
0.6495822 0.6106372 16.2338912 2800.9109961 1.4809262
0.6496956 0.5823683 17.2831998 2800.4347278 1.5810027
0.6497940 0.5978099 16.6997421 2800.9243357 1.6148944
0.6508154 0.5593008 17.1921143 2801.7246818 1.4618872
0.6514115 0.6501392 17.7790442 2802.4267665 1.4642595
0.6521713 0.6773438 15.5987015 2803.1055425 1.6016408
0.6526215 0.6109821 16.5035663 2800.5774777 1.6111946
0.6530830 0.5376595 17.1326412 2800.4342371 1.5316929
